[Fri Feb 26 23:55:42.566367 2016] [:error] [pid 2799] [client 192.168.1.4:47137] PHP Parse error:  syntax error, unexpected '{' in /var/www/Quote/public_html/application/controllers/Login.php on line 31, referer: http://quote.com/
[Sat Feb 27 00:01:18.946594 2016] [:error] [pid 7222] [client 192.168.1.4:47157] PHP Parse error:  syntax error, unexpected 'redirect' (T_STRING) in /var/www/Quote/public_html/application/controllers/Login.php on line 20, referer: http://quote.com/signup
[Sat Feb 27 00:06:41.265026 2016] [:error] [pid 2796] [client 192.168.1.4:47183] PHP Parse error:  syntax error, unexpected '{' in /var/www/Quote/public_html/application/controllers/Login.php on line 38, referer: http://quote.com/login
[Sat Feb 27 08:07:15.160831 2016] [:error] [pid 2785] [client 192.168.1.4:37320] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE) in /var/www/Quote/public_html/application/controllers/Signup.php on line 20, referer: http://quote.com/
[Sat Feb 27 08:34:48.245059 2016] [:error] [pid 2784] [client 192.168.1.4:37501] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting ':' in /var/www/Quote/public_html/application/views/flashdata.php on line 5, referer: http://quote.com/
[Sun Feb 28 11:26:46.531132 2016] [:error] [pid 13830] [client 192.168.1.4:42443] PHP Fatal error:  Call to undefined method CI_Upload::index() in /var/www/Quote/public_html/application/models/Uploads.php on line 13, referer: http://quote.com/profile/masquetina
[Sun Feb 28 11:27:22.916810 2016] [:error] [pid 13761] [client 192.168.1.4:42456] PHP Fatal error:  Call to undefined method CI_Upload::avatar() in /var/www/Quote/public_html/application/models/Uploads.php on line 13, referer: http://quote.com/profile/masquetina
[Sun Feb 28 11:37:49.106357 2016] [:error] [pid 13764] [client 192.168.1.4:42461] PHP Fatal error:  Call to undefined method CI_Model::CI_Model() in /var/www/Quote/public_html/application/models/Uploads.php on line 8, referer: http://quote.com/profile/masquetina
[Sun Feb 28 11:38:16.895351 2016] [:error] [pid 13953] [client 192.168.1.4:42468] PHP Fatal error:  Call to undefined method CI_Model::Model() in /var/www/Quote/public_html/application/models/Uploads.php on line 8, referer: http://quote.com/profile/masquetina
[Sun Feb 28 11:38:47.418290 2016] [:error] [pid 14013] [client 192.168.1.4:42475] PHP Parse error:  syntax error, unexpected '$path' (T_VARIABLE), expecting function (T_FUNCTION) in /var/www/Quote/public_html/application/models/Uploads.php on line 5, referer: http://quote.com/profile/masquetina
[Sun Feb 28 11:39:11.555119 2016] [:error] [pid 14015] [client 192.168.1.4:42481] PHP Fatal error:  Call to undefined method CI_Upload::avatar() in /var/www/Quote/public_html/application/models/Uploads.php on line 13, referer: http://quote.com/profile/masquetina
